combination_woo_id,combination_parent_woo_id,combination_sku,combination_name,combination_current_price,combination_price_missing,component_sku,component_quantity,component_item_id,component_woo_id,component_target_key,combination_component_count,component_combination_count,relationship_type,possible_duplicate_component_woo_id,edge_rule,edge_confidence,propagation_status
3688,3622,0201010|0201010|0730003,"150x200x14,5 cm, Con 2 tatamis de 100x200 cm",729.94,NO,0201010,2,201010,,201010,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3689,3622,0201010|0201010|0730004,"160x200x14,5 cm, Con 2 tatamis de 100x200 cm",741.46,NO,0201010,2,201010,,201010,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3690,3622,0201010|0201010|0730005,"180x200x14,5 cm, Con 2 tatamis de 100x200 cm",751.38,NO,0201010,2,201010,,201010,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3691,3622,0201010|0201010|0730006,"200x200x14,5 cm, Con 2 tatamis de 100x200 cm",778.52,NO,0201010,2,201010,,201010,2,18,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
4558,3657,0201011|0808001,Crudo,232,NO,0201011,1,201011,,201011,2,6,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
4556,3657,0201011|0809001,Azul,232,NO,0201011,1,201011,,201011,2,6,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
4561,3657,0201011|0816001,Negro,232,NO,0201011,1,201011,,201011,2,6,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
4557,3657,0201011|0817001,Granate,219.00,NO,0201011,1,201011,,201011,2,6,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
13091,3657,0201011|0818001,Marrón Chocolate,232,NO,0201011,1,201011,,201011,2,6,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
4559,3657,0201011|0859002,Verde oscuro,219.00,NO,0201011,1,201011,,201011,2,6,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3664,3611,0302002|0201002|0201002,Con 2 tatamis de 90x200 cm,668.80,NO,0302002,1,302002,,302002,2,1,MANY_TO_ONE,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3662,3610,0302009|0201002|0201002,Con 2 tatamis de 90x200 cm,581.70,NO,0302009,1,302009,,302009,2,1,MANY_TO_ONE,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3667,3612,0302018|0201001|0201001,"174x214x20 cm, 160x200 cm, Crudo, sin barniz, Con 2 tatamis de 80x200 cm",730.70,NO,0302018,1,302018,,302018,2,1,MANY_TO_ONE,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3668,3612,0302019|0201002|0201002,"194x214x20 cm, 180x200 cm, Crudo, sin barniz, Con 2 tatamis de 90x200 cm",751.70,NO,0302019,1,302019,,302019,2,1,MANY_TO_ONE,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3679,3618,0402010|0201001|0201001,"174x214x40 cm, 160x200 cm, Crudo, sin barniz, Con 2 tatamis de 80x200 cm",730.70,NO,0402010,1,402010,,402010,2,1,MANY_TO_ONE,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
